date,yield_10y_change,yield_30y_change,spread_10y_2y,spread_30y_10y,dr007_change,omo_net_injection_amount,avg_futures_return,avg_volume_change,avg_ai_sentiment_score,score_rate_direction,score_curve_shape,score_funding,score_omo,score_futures_volume_price,score_text_signal,score_macro,total_score,market_view
2025-10-09,-0.013900000000000023,0.016799999999999926,0.40235,0.4163000000000001,-0.10000000000000009,,0.001759350783094471,-0.16012966682844343,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,bullish
2025-10-10,-0.0005999999999999339,0.020000000000000018,0.3990499999999999,0.43690000000000007,-0.050000000000000044,,-0.0017574612213252516,0.01215156160510794,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,neutral
2025-10-13,-0.00770000000000004,-0.010000000000000231,0.39054999999999995,0.4345999999999999,0.0,,0.0012789883582776107,0.15809428814179888,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2025-10-14,-0.0015000000000000568,-0.0051000000000001044,0.3771500000000001,0.4309999999999998,0.0,,0.0014343618999407837,0.23723977541615673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2025-10-15,0.008099999999999996,-0.00749999999999984,0.37745000000000006,0.4154,-0.030000000000000027,,-0.0005797567770306489,-0.2744399215026438,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,neutral
2025-10-16,-0.0041999999999999815,-0.018899999999999917,0.37224999999999997,0.40070000000000006,0.010000000000000009,-3760.0,0.0011504725747254474,-0.0990911117190931,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,neutral
2025-10-17,-0.016100000000000003,-0.0411999999999999,0.3459000000000001,0.37560000000000016,-0.030000000000000027,-2442.0,0.002361344643529717,0.08818387378725942,0.0,2.0,0.5,1.0,-1.0,1.0,0.0,0.0,3.5,bullish
2025-10-20,0.02520000000000011,0.016000000000000014,0.3461500000000002,0.36640000000000006,0.050000000000000044,512.0,-0.0016778701243220229,0.08636480911869089,0.0,-2.0,0.5,-1.0,1.0,-1.0,0.0,0.0,-2.5,bearish
2025-10-21,-0.014100000000000001,-0.029100000000000126,0.33330000000000015,0.35139999999999993,-0.010000000000000009,685.0,0.0007352030106786422,-0.0602789364658259,0.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,3.5,bullish
2025-10-22,-0.006400000000000183,-0.004999999999999893,0.3232499999999998,0.3528000000000002,0.0,947.0,0.0004024114959038094,-0.10015467466989637,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.5,neutral
2025-10-23,0.009800000000000031,0.012499999999999734,0.3346500000000001,0.3554999999999999,0.0,-235.0,-0.0013369696632693218,0.29725706128096385,0.0,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,-0.5,neutral
2025-10-24,0.009500000000000064,0.018000000000000238,0.34809999999999985,0.3640000000000001,-0.040000000000000036,32.0,-0.0009218862475910972,-0.14751391890936671,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.5,neutral
2025-10-27,-0.006299999999999972,-0.009500000000000064,0.3528,0.3608,0.20000000000000018,1483.0,0.0016140993938953963,0.1011480285634453,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,neutral
2025-10-28,-0.024399999999999977,-0.03310000000000013,0.36959999999999993,0.35209999999999986,-0.050000000000000044,3158.0,0.002573226842102372,0.13899853492589945,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,bullish
2025-10-29,0.0028999999999999027,0.007000000000000117,0.4122000000000001,0.35620000000000007,0.0,4195.0,0.00031514669975094,0.2802332180406915,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,bullish
2025-10-30,-0.010999999999999899,-0.014499999999999957,0.41165000000000007,0.3527,-0.040000000000000036,1301.0,0.0005769574691007195,-0.2673661682231839,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,bullish
2025-10-31,-0.014399999999999968,-0.019400000000000084,0.39680000000000004,0.3476999999999999,-0.020000000000000018,1871.0,0.0010952955947771403,-0.09590028566005931,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,3.5,bullish
2025-11-03,-0.001000000000000112,-0.00550000000000006,0.3892500000000001,0.34319999999999995,-0.06000000000000005,-2590.0,-0.00034774444259799697,-0.05565821963985657,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.5,0.5,neutral
2025-11-04,0.0040000000000000036,0.0045000000000001705,0.38654999999999995,0.3437000000000001,-0.010000000000000009,-3578.0,3.2728167268680775e-05,-0.09065028657675629,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,-0.5,neutral
2025-11-05,-0.0020000000000000018,-0.0030000000000001137,0.37180000000000013,0.3427,0.010000000000000009,-4922.0,-0.0002638016147919753,-0.08035966850194262,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,-0.5,neutral
2025-11-06,0.013600000000000056,0.020500000000000185,0.38549999999999995,0.34960000000000013,0.0,-2498.0,-0.000990184152965562,0.19112519566626973,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.5,-3.5,bearish
2025-11-07,0.0041999999999999815,-0.0015000000000000568,0.38949999999999996,0.3439000000000001,-0.020000000000000018,-2134.0,-0.0007943250503234245,-0.03868018975469293,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,-0.5,neutral
2025-11-10,-0.00029999999999996696,-0.010499999999999954,0.39175000000000004,0.3337000000000001,0.09000000000000008,416.0,0.0005991472561024669,0.021641080693366156,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.5,0.5,neutral
2025-11-11,-0.0020000000000000018,0.006099999999999994,0.3903000000000001,0.3418000000000001,0.0,2863.0,-2.1003749910764036e-05,-0.05599515157286898,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.5,neutral
2025-11-12,-0.0048000000000001375,-0.010600000000000165,0.38359999999999994,0.3360000000000001,-0.010000000000000009,1300.0,0.0004058600185414818,-0.0512414417498583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.5,neutral
2025-11-13,0.00550000000000006,0.005999999999999783,0.38785000000000003,0.3364999999999998,-0.010000000000000009,972.0,-0.0011155906693878503,0.15224095981585428,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.5,0.5,neutral
2025-11-14,0.0014000000000000679,-0.0009999999999998899,0.3889499999999999,0.33409999999999984,-0.020000000000000018,711.0,3.325754564215133e-05,0.16260134367476942,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,2.5,bullish
2025-11-17,-0.0031000000000001027,-0.008999999999999897,0.38864999999999994,0.32820000000000005,0.07000000000000006,1631.0,0.0012504591101857865,-0.022092387433268246,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.5,0.5,neutral
2025-11-18,0.0012000000000000899,-0.0009999999999998899,0.39025,0.32600000000000007,-0.010000000000000009,37.0,0.00033104016403645575,0.04278013309845241,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5,neutral
2025-11-19,0.005800000000000027,0.012499999999999734,0.3972499999999999,0.3326999999999998,0.0,1150.0,-0.0013298363249263923,0.016339919310122554,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.5,0.5,neutral
2025-11-20,-0.0044000000000001815,0.0024999999999999467,0.39369999999999994,0.3395999999999999,-0.030000000000000027,1100.0,-0.00020850117799262047,0.20384518072661142,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.5,1.5,neutral
2025-11-21,0.0031000000000001027,0.0045000000000001705,0.3987999999999998,0.34099999999999997,-0.030000000000000027,1622.0,-0.001026546316612309,-0.012636436937674968,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,2.5,bullish
2025-11-24,0.0043999999999999595,0.0009999999999998899,0.4018999999999999,0.3375999999999999,0.06000000000000005,557.0,0.0008260781309235021,-0.03830851185196479,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.5,0.5,neutral
2025-11-25,0.009100000000000108,0.01650000000000018,0.4106000000000001,0.345,-0.07000000000000006,-1054.0,-0.0010155792030142607,0.29033897205227516,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.5,-0.5,neutral
2025-11-26,0.016100000000000003,0.01750000000000007,0.42445,0.34640000000000004,0.050000000000000044,-972.0,-0.003729050663172584,0.026916019412253467,0.0,-2.0,0.0,-1.0,-1.0,-1.0,0.0,0.5,-4.5,bearish
2025-11-27,0.00749999999999984,0.00749999999999984,0.42399999999999993,0.34640000000000004,0.0,564.0,-0.00017670877747819058,-0.2576284184805429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.5,neutral
2025-11-28,-0.012499999999999956,-0.015000000000000124,0.42279999999999984,0.3438999999999999,0.0,-737.0,9.039071396566012e-05,-0.06922451394174209,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.5,1.5,neutral
2025-12-01,-0.0045999999999999375,0.0050000000000003375,0.41315000000000013,0.35350000000000015,-0.040000000000000036,-2311.0,0.000424292353952499,0.057909996123454544,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,1.5,neutral
2025-12-02,0.007600000000000051,0.01499999999999968,0.4217000000000002,0.3608999999999998,-0.010000000000000009,-1458.0,-0.0016474767592330186,0.08157540212303158,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.5,-1.5,neutral
2025-12-03,0.00770000000000004,0.03000000000000025,0.4296500000000001,0.3832,0.0,-1340.0,-0.00026717339694978803,0.0025134632865800727,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.5,-1.5,neutral
2025-12-04,0.019899999999999807,0.040999999999999925,0.4522499999999998,0.4043000000000001,0.0,-1756.0,-0.004197914379451273,0.7593923359652015,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.5,-3.5,bearish
2025-12-05,-0.02379999999999982,-0.019000000000000128,0.43695000000000017,0.4090999999999998,-0.020000000000000018,-1615.0,0.0009582105923749418,-0.259812323817127,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.5,1.5,neutral
2025-12-08,0.0019000000000000128,0.0005999999999999339,0.4414500000000001,0.4077999999999997,0.050000000000000044,147.0,-0.0007101733670005494,0.04426498708636777,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.5,-1.5,neutral
2025-12-09,-0.007400000000000073,-0.004999999999999893,0.4375,0.4101999999999999,-0.010000000000000009,-390.0,0.0016290459003411861,-0.2535342549745507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,neutral
2025-12-10,0.0021999999999999797,-0.011499999999999844,0.4417,0.3965000000000001,-0.020000000000000018,1105.0,0.0011245163041789241,0.04770571981871284,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,2.5,bullish
2025-12-11,-0.0042999999999999705,-0.016000000000000014,0.44100000000000006,0.38480000000000003,0.020000000000000018,-622.0,0.0015743684732695828,0.04789657862122975,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.5,-0.5,neutral
